Date,Location,Total,ForeignInflow,GroupTotal,Shincheonji,GroupCases,PersonsInContact,ForeignGroupInflow,Other,New
2020-03-25,Seoul,347,58,259,7,194,35,23,30,13
2020-03-25,Busan,112,2,76,11,49,16,0,34,1
2020-03-25,Daegu,6456,2,5427,4387,321,719,0,1027,14
2020-03-25,Incheon,42,6,34,2,27,3,2,2,1
2020-03-25,Gwangju,19,4,14,9,0,2,3,1,0
2020-03-25,Daejeon,24,0,14,2,9,3,0,10,0
2020-03-25,Ulsan,37,6,24,16,1,4,3,7,1
2020-03-25,Sejong,44,0,41,1,37,3,0,3,2
2020-03-25,Gyeonggi,387,36,298,30,204,54,10,53,21
2020-03-25,Gangwon,31,2,23,18,5,0,0,6,1
2020-03-25,Chungbuk,38,0,30,12,11,7,0,8,0
2020-03-25,Chungnam,123,4,112,0,112,0,0,7,3
2020-03-25,Jeonbuk,10,3,1,1,0,0,0,6,0
2020-03-25,Jeonnam,8,0,4,1,0,2,1,4,2
2020-03-25,Gyeongbuk,1262,0,1103,551,379,172,1,159,5
2020-03-25,Gyeongnam,90,2,72,32,35,5,0,16,0
2020-03-25,Jeju,6,1,0,0,0,0,0,5,2
2020-03-25,Quarantine,101,101,0,0,0,0,0,0,34
2020-03-26,Seoul,360,68,266,7,197,37,26,26,13
2020-03-26,Busan,112,2,76,11,49,16,0,34,0
2020-03-26,Daegu,6482,2,5463,4391,347,726,0,1017,26
2020-03-26,Incheon,43,7,34,2,27,3,2,2,1
2020-03-26,Gwangju,19,4,14,9,0,2,3,1,0
2020-03-26,Daejeon,30,1,18,2,10,6,0,11,6
2020-03-26,Ulsan,37,6,24,16,1,4,3,7,0
2020-03-26,Sejong,44,0,42,1,38,3,0,2,0
2020-03-26,Gyeonggi,401,47,309,29,210,57,13,45,14
2020-03-26,Gangwon,31,2,22,17,5,0,0,7,0
2020-03-26,Chungbuk,39,0,26,6,11,9,0,13,1
2020-03-26,Chungnam,124,5,112,0,112,0,0,7,1
2020-03-26,Jeonbuk,10,3,1,1,0,0,0,6,0
2020-03-26,Jeonnam,8,1,4,1,0,2,1,3,0
2020-03-26,Gyeongbuk,1274,1,1115,554,388,172,1,158,12
2020-03-26,Gyeongnam,90,2,72,32,35,5,0,16,0
2020-03-26,Jeju,6,2,0,0,0,0,0,4,0
2020-03-26,Quarantine,131,131,0,0,0,0,0,0,30
2020-03-27,Seoul,372,74,268,7,198,37,26,30,12
2020-03-27,Busan,113,2,76,11,49,16,0,35,1
2020-03-27,Daegu,6516,2,5487,4391,366,730,0,1027,34
2020-03-27,Incheon,46,8,34,2,27,3,2,4,3
2020-03-27,Gwangju,20,4,14,9,0,2,3,2,1
2020-03-27,Daejeon,31,2,18,2,10,6,0,11,1
2020-03-27,Ulsan,39,7,24,16,1,4,3,8,2
